No.,Name,Location,Coordinates
1,Masjid Al Malik Khalid,"USM, Penang","5.35651, 100.30147"
2,Masjid Al-Rahmah,"Mergong, Alor Setar","6.13982, 100.35478"
3,Masjid Al-Azim,"Bukit Palah, Melaka","2.21528, 102.26218"
4,Masjid Al-Huda,"Sungai Ara, Penang","5.32285, 100.27229"
5,Masjid Al-Ikhlas (Naza),"Seksyen 13, Shah Alam","3.09038, 101.54515"
6,Masjid Al-Wustha,"Guar Chempedak, Kedah","5.86012, 100.46311"
7,Masjid An-Nur,"UTP, Seri Iskandar","4.38573, 100.97232"
8,Masjid Raja Lumu,"Kuala Selangor, Selangor","3.34068, 101.24914"
9,Masjid Salahuddin Al-Ayubbi,"Taman Melati, KL","3.22444, 101.72283"
10,Masjid Sultan Ibrahim,"UTHM, Batu Pahat","1.85918, 103.08577"
11,Masjid Taman Desa Sentosa,"Hulu Langat, Selangor","3.12452, 101.81223"
12,Masjid Ubudiah,"Kuala Kangsar, Perak","4.76415, 100.95089"
13,Masjid Zahir,"Alor Setar, Kedah","6.11989, 100.36614"
14,Surau Al-Iman,"Taman Arked, Sg. Petani","5.62674, 100.46081"
15,Surau Nur Al-Syura,"Seksyen 7, Shah Alam","3.07682, 101.48827"
16,Surau Nurhidayah,"Kg. Melayu FRIM, Kepong","3.23061, 101.63688"
17,Surau Taman Menteri,"Changkat Jering, Perak","4.79508, 100.72021"